Gene ID	Gene Name	Reference	Strand	Start	End
ENSBTAG00000039714	ENSBTAG00000039714	12	+	75664652	75870596
ENSBTAG00000003568	CLDN10	12	+	76758754	76864805
ENSBTAG00000012065	DNAJC3	12	+	76958978	77024110
ENSBTAG00000045566	ENSBTAG00000045566	12	+	77988225	77988904
ENSBTAG00000021345	OXGR1	12	+	78063844	78064857
ENSBTAG00000018313	MBNL2	12	+	78283460	78445751
ENSBTAG00000020412	RAP2A	12	+	78507683	78546608
ENSBTAG00000039374	RANBP6	12	+	79000723	79039990
ENSBTAG00000000146	FARP1	12	+	79189512	79429462
ENSBTAG00000045262	U6	12	+	79320445	79320545
ENSBTAG00000032234	STK24	12	-	79432789	79483799
ENSBTAG00000004440	PEPT-1	12	-	79605255	79652128
ENSBTAG00000010395	DOCK9	12	-	79691579	79870108
ENSBTAG00000005682	UBAC2	12	+	80056876	80227030
ENSBTAG00000002240	GPR18	12	-	80095128	80098875
ENSBTAG00000032084	GPR183	12	-	80142501	80157134
ENSBTAG00000001589	TM9SF2	12	+	80317273	80373389
ENSBTAG00000004165	CLYBL	12	+	80409751	80638113
ENSBTAG00000046271	ZIC5	12	-	80714189	80719236
ENSBTAG00000025246	ZIC2	12	+	80718632	80724166
ENSBTAG00000007066	TMTC4	12	-	81261656	81311216
ENSBTAG00000025221	TEX30	12	-	82994774	83001410
ENSBTAG00000008880	KDELC1	12	-	83003051	83016227
ENSBTAG00000014043	ERCC5	12	+	83026396	83093936
ENSBTAG00000015124	ARGLU1	12	-	86311326	86323526
ENSBTAG00000025220	FAM155A	12	-	86812379	87425485
ENSBTAG00000032038	ENSBTAG00000032038	12	+	87063882	87064331
ENSBTAG00000012849	COL4A1	12	-	88876125	89009422
ENSBTAG00000025210	COL4A2	12	+	89112423	89165255
ENSBTAG00000011471	CARS2	12	-	89251280	89270403
ENSBTAG00000004041	ANKRD10	12	-	89304124	89331902
ENSBTAG00000025211	ING1	12	+	89339068	89339790
ENSBTAG00000020726	ARHGEF7	12	+	89451354	89552212
ENSBTAG00000044184	TUBGCP3	12	-	90201444	90237259
ENSBTAG00000000446	ATP11A	12	+	90353679	90402670
ENSBTAG00000021725	PCID2	12	-	90546663	90561670
ENSBTAG00000020093	CUL4A	12	+	90562966	90589009
ENSBTAG00000010242	LAMP1	12	+	90609710	90621680
ENSBTAG00000018671	DCUN1D2	12	-	90680190	90695973
ENSBTAG00000019967	RASA3	12	-	90916421	90995694
ENSBTAG00000000059	ENSBTAG00000000059	12	+	91026838	91027218
ENSBTAG00000019971	CDC16	12	+	91039122	91065655
ENSBTAG00000044304	bta-mir-2303	12	+	91046173	91046251
ENSBTAG00000020858	UPF3A	12	+	91071317	91090086
ENSBTAG00000020861	CHAMP1	12	+	91100867	91103281
ENSBTAG00000025720	ENSBTAG00000025720	13	-	422889	424810
ENSBTAG00000035323	TMX4	13	-	534160	593323
ENSBTAG00000013116	PLCB4	13	+	2211089	2410692
ENSBTAG00000035199	MRPL33	13	-	2891529	2891726
ENSBTAG00000043163	U6	13	-	3593382	3593489
ENSBTAG00000021614	TASP1	13	-	7131227	7383858
ENSBTAG00000007130	ESF1	13	-	7466618	7532561
ENSBTAG00000004302	C13H20orf7	13	+	7532718	7557302
ENSBTAG00000003319	FLRT3	13	-	8041873	8046999
ENSBTAG00000032609	ENSBTAG00000032609	13	+	10535554	10536828
ENSBTAG00000027506	SNRPB2	13	+	10734368	10747954
ENSBTAG00000000686	NANP	13	+	10871597	10879769
ENSBTAG00000023169	ENSBTAG00000023169	13	+	10934396	10992906
ENSBTAG00000004354	ENSBTAG00000004354	13	+	11161738	11183816
ENSBTAG00000022922	ANKRD26	13	+	11315039	11333507
ENSBTAG00000040046	ENSBTAG00000040046	13	+	11392653	11438397
ENSBTAG00000019511	CDC123	13	-	12199764	12246148
ENSBTAG00000019509	NUDT5	13	+	12246303	12266216
ENSBTAG00000019508	SEC61A2	13	-	12269034	12291725
ENSBTAG00000000291	DHTKD1	13	-	12294011	12339110
ENSBTAG00000000288	UPF2	13	+	12363666	12452723
ENSBTAG00000044851	U3	13	+	12415354	12415446
ENSBTAG00000008937	CELF2	13	-	12934868	13000042
ENSBTAG00000017243	GATA3	13	-	15984602	16002940
ENSBTAG00000002836	TAF3	13	-	16043506	16163986
ENSBTAG00000013930	ATP5C1	13	-	16171111	16187450
ENSBTAG00000013925	KIN	13	+	16187650	16210886
ENSBTAG00000037516	ENSBTAG00000037516	13	-	16262484	16263567
ENSBTAG00000010664	PRKCQ	13	+	17093614	17185063
ENSBTAG00000021951	RBM17	13	-	17486172	17509050
ENSBTAG00000004147	FBXO18	13	-	17650891	17690062
ENSBTAG00000036222	ENSBTAG00000036222	13	+	17742124	17783203
ENSBTAG00000022931	ENSBTAG00000022931	13	+	17838058	17856663
ENSBTAG00000034145	ENSBTAG00000034145	13	+	17873659	17883719
ENSBTAG00000008288	ANKRD26	13	-	17906392	17974166
ENSBTAG00000016445	YME1L1	13	-	17986323	18015111
ENSBTAG00000017278	ACBD5	13	-	18047209	18075549
ENSBTAG00000005136	ABI1	13	+	18094999	18177768
ENSBTAG00000006529	PDSS1	13	-	18182707	18224123
ENSBTAG00000014991	PARD3	13	+	18982015	19337608
ENSBTAG00000015910	ITGB1	13	+	20248945	20292114
ENSBTAG00000002675	CCDC7	13	-	20534890	20581215
ENSBTAG00000003937	ENSBTAG00000003937	13	+	22813811	22814335
ENSBTAG00000044074	MLLT10	13	+	23031278	23236618
ENSBTAG00000033315	DNAJC1	13	-	23251449	23428980
ENSBTAG00000044566	ENSBTAG00000044566	13	-	23417726	23417802
ENSBTAG00000025968	ENSBTAG00000025968	13	-	23444708	23445437
ENSBTAG00000015584	BMI1	13	+	23709778	23712913
ENSBTAG00000021857	ARHGAP21	13	-	25734381	25811083
ENSBTAG00000016401	OPTN	13	+	28078762	28117627
ENSBTAG00000016406	MCM10	13	+	28138043	28163336
ENSBTAG00000047869	ENSBTAG00000047869	13	-	28204600	28226830
ENSBTAG00000007700	PHYH	13	-	28254814	28275573
ENSBTAG00000008821	SEPHS1	13	-	28288106	28314599
ENSBTAG00000008279	FRMD4A	13	-	28631455	28961637
ENSBTAG00000016451	HSPA14	13	+	29778732	29803330
ENSBTAG00000045609	ENSBTAG00000045609	13	+	29782458	29784020
ENSBTAG00000042878	SNORD22	13	-	29800605	29800728
ENSBTAG00000010210	SUV39H2	13	+	29813365	29835882
ENSBTAG00000010220	DCLRE1C	13	-	29840395	29874417
ENSBTAG00000007702	RPP38	13	+	29959800	29965680
ENSBTAG00000007703	NMT2	13	-	29967417	30027451
ENSBTAG00000010387	FAM188A	13	-	30604489	30684245
ENSBTAG00000016676	PTER	13	+	31202455	31278293
ENSBTAG00000027446	RSU1	13	-	31347074	31554426
ENSBTAG00000020546	TRDMT1	13	-	31853810	31905555
ENSBTAG00000002658	STAM	13	+	32390175	32445156
ENSBTAG00000042890	SNORD62	13	+	32429506	32429591
ENSBTAG00000022000	CACNB2	13	+	33005028	33285264
ENSBTAG00000022003	NSUN6	13	-	33291610	33369610
ENSBTAG00000001552	EPC1	13	+	33451679	33518736
ENSBTAG00000043839	ENSBTAG00000043839	13	+	33451890	33451972
ENSBTAG00000002280	KIF5B	13	+	33619259	33665129
ENSBTAG00000016294	ZNF438	13	+	34524932	34807031
ENSBTAG00000027444	SVIL	13	-	34860211	34965895
ENSBTAG00000046981	SVIL	13	-	34922199	34945103
ENSBTAG00000004387	MTPAP	13	-	35533552	35564536
ENSBTAG00000011600	MAP3K8	13	+	35600313	35626614
ENSBTAG00000018263	WAC	13	-	36372779	36448920
ENSBTAG00000017354	MPP7	13	+	36610252	36833259
ENSBTAG00000009871	RAB18	13	-	37303894	37331999
ENSBTAG00000015434	DSTN	13	+	38259752	38284536
ENSBTAG00000015438	RRBP1	13	-	38289297	38317466
ENSBTAG00000003422	SNX5	13	-	38519143	38543948
ENSBTAG00000042662	SNORD17	13	-	38537849	38538084
ENSBTAG00000003425	MGME1	13	+	38546389	38554838
ENSBTAG00000018978	CSRP2BP	13	+	38638357	38661300
ENSBTAG00000004620	ZNF133	13	+	38708011	38772942
ENSBTAG00000008825	POLR3F	13	+	38841092	38855175
ENSBTAG00000018295	SEC23B	13	+	38870266	38900349
ENSBTAG00000008964	DTD1	13	+	38909550	38989758
ENSBTAG00000012276	RPL5	13	-	38980088	38981117
ENSBTAG00000011882	SLC24A3	13	+	39202450	39632869
ENSBTAG00000020382	RIN2	13	+	39808123	39871299
ENSBTAG00000045220	bta-mir-2305	13	+	39836873	39836938
ENSBTAG00000001144	NAA20	13	+	39883240	39901761
ENSBTAG00000008472	CRNKL1	13	-	39903829	39927979
ENSBTAG00000011304	XRN2	13	+	40962751	41025285
ENSBTAG00000035643	ENSBTAG00000035643	13	+	41140043	41141508
ENSBTAG00000004993	NXT1	13	+	42398735	42399402
ENSBTAG00000032704	NAPB	13	-	42416038	42453614
ENSBTAG00000000598	CST3	13	-	42562167	42566091
ENSBTAG00000004278	APMAP	13	-	42963404	43023221
ENSBTAG00000009881	ENTPD6	13	-	43004253	43076853
ENSBTAG00000004281	ACSS1	13	-	43029813	43073610
ENSBTAG00000003335	VSX1	13	-	43101947	43110540
ENSBTAG00000004625	PYGB	13	+	43166167	43184380
ENSBTAG00000001420	ABHD12	13	-	43187469	43240717
ENSBTAG00000039071	ANKRD16	13	+	43253789	43268428
ENSBTAG00000035572	ENSBTAG00000035572	13	+	43280032	43281472
ENSBTAG00000002446	ENSBTAG00000002446	13	+	43298763	43299144
ENSBTAG00000005316	GDI2	13	+	43302440	43331090
ENSBTAG00000045310	SNORA31	13	-	43388070	43388198
ENSBTAG00000013854	CALML5	13	+	43507344	43508178
ENSBTAG00000007648	NET1	13	-	43526442	43538233
ENSBTAG00000037509	AKR1C4	13	-	43654794	43668774
ENSBTAG00000039722	ENSBTAG00000039722	13	-	43761441	43773807
ENSBTAG00000027419	ENSBTAG00000027419	13	+	43864284	43873875
ENSBTAG00000022571	ENSBTAG00000022571	13	+	43909081	43917999
ENSBTAG00000022564	ENSBTAG00000022564	13	+	43947621	44116989
ENSBTAG00000039289	ENSBTAG00000039289	13	+	43973797	43995748
ENSBTAG00000021368	ENSBTAG00000021368	13	+	44018812	44042285
ENSBTAG00000022570	ENSBTAG00000022570	13	-	44064647	44085039
ENSBTAG00000037453	20ALPHA-HSD	13	+	44137261	44154582
ENSBTAG00000017191	ENSBTAG00000017191	13	+	44229670	44230470
ENSBTAG00000015188	KLF6	13	+	44945068	44952151
ENSBTAG00000002685	PITRM1	13	+	45473919	45499897
ENSBTAG00000014194	ADARB2	13	+	46383731	46630127
ENSBTAG00000039356	ENSBTAG00000039356	13	+	46492045	46502978
ENSBTAG00000037833	ENSBTAG00000037833	13	-	46545942	46546045
ENSBTAG00000000683	WDR37	13	-	46647460	46679926
ENSBTAG00000004075	IDI1	13	+	46682710	46685834
ENSBTAG00000014917	GTPBP4	13	-	46689063	46703756
ENSBTAG00000006531	DIP2C	13	+	47041229	47177126
ENSBTAG00000043211	U6	13	-	47114652	47114758
ENSBTAG00000043795	SNORD31	13	-	47172817	47172885
ENSBTAG00000002578	ZMYND11	13	-	47195829	47256120
ENSBTAG00000027937	PRNP	13	+	47400413	47418507
ENSBTAG00000006063	TMEM230	13	-	47779510	47787910
ENSBTAG00000006065	PCNA	13	-	47788530	47794602
ENSBTAG00000006066	CDS2	13	+	47799924	47856833
ENSBTAG00000042644	snoU6-53	13	+	47845901	47846006
ENSBTAG00000020668	ENSBTAG00000020668	13	-	47904560	47905533
ENSBTAG00000008293	GPCPD1	13	-	48086530	48150177
ENSBTAG00000001314	TRMT6	13	-	48476003	48486536
ENSBTAG00000014623	MCM8	13	+	48489739	48532765
ENSBTAG00000000065	CRLS1	13	+	48552757	48575435
ENSBTAG00000007199	ENSBTAG00000007199	13	-	51003521	51004117
ENSBTAG00000013545	MAVS	13	-	51797279	51809475
ENSBTAG00000008439	C20ORF29	13	-	51837801	51842049
ENSBTAG00000018735	C20orf27	13	+	51888452	51901483
ENSBTAG00000027412	ENSBTAG00000027412	13	+	51930067	51930888
ENSBTAG00000003494	C13H20orf194	13	+	52253039	52422570
ENSBTAG00000013776	ITPA	13	-	52449560	52462362
ENSBTAG00000013753	DDRGK1	13	+	52465223	52475836
ENSBTAG00000020454	ENSBTAG00000020454	13	+	52494961	52500593
ENSBTAG00000015379	UBOX5	13	+	52501259	52548991
ENSBTAG00000000825	MRPS26	13	-	52590818	52593105
ENSBTAG00000011425	PTPRA	13	-	52600919	52771800
ENSBTAG00000037757	EBF4	13	-	52885989	52942347
ENSBTAG00000018813	IDH3B	13	+	52978729	52983685
ENSBTAG00000018812	NOP56	13	-	52983685	52988922
ENSBTAG00000042198	SNORD57	13	-	52985032	52985103
ENSBTAG00000042607	SNORD56	13	-	52985362	52985432
ENSBTAG00000042631	SNORD86	13	-	52985858	52985943
ENSBTAG00000043077	SNORA51	13	-	52986833	52986968
ENSBTAG00000043306	SNORD110	13	-	52987713	52987784
ENSBTAG00000018811	TMC2	13	-	53003430	53109440
ENSBTAG00000001038	SNRPB	13	+	53134613	53143629
ENSBTAG00000044240	SNORD64	13	+	53142238	53142313
ENSBTAG00000022534	ENSBTAG00000022534	13	+	53319470	53320263
ENSBTAG00000019984	GINS1	13	+	54063354	54079411
ENSBTAG00000031715	PCMTD2	13	-	54123575	54142541
ENSBTAG00000011656	PRPF6	13	-	54308647	54343470
ENSBTAG00000043826	U6	13	+	54338297	54338371
ENSBTAG00000015798	UCKL1	13	+	54362734	54373970
ENSBTAG00000015796	DNAJC5	13	-	54382947	54408528
ENSBTAG00000021232	TPD52L2	13	-	54411455	54427367
ENSBTAG00000007498	ZGPAT	13	-	54509565	54519454
ENSBTAG00000007497	ARFRP1	13	+	54519582	54525754
ENSBTAG00000047150	RTEL	13	-	54528273	54547753
ENSBTAG00000021096	RTEL1	13	+	54532272	54544892
ENSBTAG00000031800	PPDPF	13	-	54608180	54609543
ENSBTAG00000031764	ENSBTAG00000031764	13	-	54707289	54707613
ENSBTAG00000004916	ARFGAP3	13	-	54759402	54769733
ENSBTAG00000010383	YTHDF1	13	+	54805022	54817791
ENSBTAG00000001827	GID8	13	-	54936109	54942283
ENSBTAG00000006002	DIDO1	13	+	54964694	54993056
ENSBTAG00000031718	OGFR	13	-	55043087	55050690
ENSBTAG00000031716	C13H20orf20	13	-	55053690	55056880
ENSBTAG00000016388	SLCO4A1	13	-	55149364	55172423
ENSBTAG00000020795	RPS21	13	-	55358720	55359979
ENSBTAG00000003061	LAMA5	13	+	55379959	55433278
ENSBTAG00000003058	ADRM1	13	-	55433440	55439176
ENSBTAG00000017402	OSBPL2	13	-	55448212	55464735
ENSBTAG00000005127	PSMA7	13	+	55501437	55506984
ENSBTAG00000047991	TAF4	13	+	55627852	55655516
ENSBTAG00000020261	CDH26	13	-	57056797	57091107
ENSBTAG00000003608	SYCP2	13	+	57125794	57197458
ENSBTAG00000004402	SLMO2	13	+	57855967	57864630
ENSBTAG00000039208	ATP5E	13	+	57866138	57869829
ENSBTAG00000018785	TUBB1	13	-	57874077	57879042
ENSBTAG00000018784	CTSZ	13	+	57889707	57899205
ENSBTAG00000018783	NELFCD	13	-	57899212	57909996
ENSBTAG00000017475	GNAS	13	-	58010287	58049012
ENSBTAG00000047223	GNAS	13	-	58019524	58049012
ENSBTAG00000010934	RAE1	13	-	59323502	59341187
ENSBTAG00000002065	TFAP2C	13	-	59903160	59912715
ENSBTAG00000024608	ENSBTAG00000024608	13	+	59957517	59958130
ENSBTAG00000027390	RTFDC1	13	-	59983723	60027251
ENSBTAG00000006243	GCNT7	13	+	59998610	60002281
ENSBTAG00000006639	CSTF1	13	-	60077491	60091145
ENSBTAG00000013009	AURKA	13	+	60092043	60107177
ENSBTAG00000006533	NSFL1C	13	+	60244889	60265244
ENSBTAG00000008303	FKBP1A	13	+	60276502	60303755
ENSBTAG00000008638	FAM110A	13	-	60798592	60812321
ENSBTAG00000012341	CSNK2A1	13	+	61082324	61106498
ENSBTAG00000008840	HM13	13	+	61644664	61683597
ENSBTAG00000016169	ID1	13	+	61726125	61727283
ENSBTAG00000016171	COX4I2	13	+	61745578	61750870
ENSBTAG00000006526	BCL2L1	13	-	61766806	61817383
ENSBTAG00000018775	TPX2	13	+	61831821	61885788
ENSBTAG00000009743	PDRG1	13	-	62007731	62014961
ENSBTAG00000001015	TM9SF4	13	+	62165598	62218184
ENSBTAG00000031402	ASXL1	13	+	62354936	62412018
ENSBTAG00000016427	COMMD7	13	-	62647738	62675887
ENSBTAG00000003901	DNMT3B	13	+	62700411	62721124
ENSBTAG00000003908	MAPRE1	13	+	62728053	62754549
ENSBTAG00000011704	ENSBTAG00000011704	13	+	63150593	63151022
ENSBTAG00000017098	BPIFA1	13	+	63247711	63254775
ENSBTAG00000015724	BPIFB1	13	+	63284373	63305522
ENSBTAG00000018535	CDK5RAP1	13	-	63368942	63403771
ENSBTAG00000010131	CBFA2T2	13	+	63632327	63670697
ENSBTAG00000003971	E2F1	13	-	63705710	63714008
ENSBTAG00000038738	PXMP4	13	-	63726558	63743492
ENSBTAG00000016524	RALY	13	+	63953596	64043571
ENSBTAG00000005969	EIF2S2	13	-	64050711	64069300
ENSBTAG00000018101	AHCY	13	-	64258560	64274274
ENSBTAG00000000308	ITCH	13	+	64357862	64462219
ENSBTAG00000046623	ENSBTAG00000046623	13	-	64372559	64372993
ENSBTAG00000006134	DYNLRB1	13	+	64466198	64483930
ENSBTAG00000011620	PIGU	13	-	64499149	64589897
ENSBTAG00000007930	NCOA6	13	-	64639066	64726460
ENSBTAG00000003815	EDEM2	13	-	64999241	65028233
ENSBTAG00000011263	EIF6	13	-	65206238	65212123
ENSBTAG00000030990	UQCC	13	-	65233032	65327796
ENSBTAG00000006670	ERGIC3	13	+	65435601	65448951
ENSBTAG00000006949	SPAG4	13	+	65499318	65504023
ENSBTAG00000006955	CPNE1	13	-	65507240	65543149
ENSBTAG00000044015	RBM12	13	-	65532018	65543175
ENSBTAG00000006962	NFS1	13	-	65545941	65563035
ENSBTAG00000027361	ROMO1	13	+	65563083	65564614
ENSBTAG00000003949	RBM39	13	-	65567208	65592912
ENSBTAG00000005571	PHF20	13	+	65616355	65741829
ENSBTAG00000028669	5S_rRNA	13	+	65689872	65689978
ENSBTAG00000005573	SCAND1	13	-	65744269	65745100
ENSBTAG00000001645	AAR2	13	+	66018116	66038301
ENSBTAG00000011473	MYL9	13	+	66306260	66314230
ENSBTAG00000021805	RIP5	13	+	66362562	66369978
ENSBTAG00000040607	SLA2	13	-	66368694	66395549
ENSBTAG00000019621	NDRG3	13	-	66398147	66594149
ENSBTAG00000022005	TLDC2	13	+	66433853	66442685
ENSBTAG00000022007	SAMHD1	13	-	66491917	66534355
ENSBTAG00000046344	ENSBTAG00000046344	13	+	66538447	66538939
ENSBTAG00000011541	RBL1	13	-	66567169	66730589
ENSBTAG00000013915	DSN1	13	-	66602330	66618267
ENSBTAG00000021669	SOGA1	13	-	66628906	66673721
ENSBTAG00000014648	RPN2	13	+	66799465	66853779
ENSBTAG00000042176	SNORA38	13	+	66811069	66811199
ENSBTAG00000022562	ENSBTAG00000022562	13	+	66892461	66893403
ENSBTAG00000000528	MANBAL	13	+	66899155	66926952
ENSBTAG00000008938	SRC	13	+	66985878	67004791
ENSBTAG00000045928	ENSBTAG00000045928	13	-	67102207	67118598
ENSBTAG00000003209	BLCAP	13	-	67114713	67125217
ENSBTAG00000003212	NNAT	13	+	67118490	67120879
ENSBTAG00000007658	CTNNBL1	13	+	67257419	67431111
ENSBTAG00000004100	TTI1	13	-	67528734	67570054
ENSBTAG00000005086	RPRD1B	13	+	67570198	67628069
ENSBTAG00000016208	TGM2	13	-	67663138	67697607
ENSBTAG00000003040	RALGAPB	13	+	68040825	68116124
ENSBTAG00000000660	FAM83D	13	+	68368929	68391896
ENSBTAG00000004039	DHX35	13	+	68399158	68468557
ENSBTAG00000007960	TOP1	13	+	70383856	70480307
ENSBTAG00000043116	U6	13	+	70424002	70424108
ENSBTAG00000042521	U6	13	+	70472054	70472160
ENSBTAG00000017584	PLCG1	13	+	70510824	70524389
ENSBTAG00000005733	CHD6	13	-	70727512	70859012
ENSBTAG00000030090	bta-mir-544b-1	13	+	70737770	70737854
ENSBTAG00000048055	ENSBTAG00000048055	13	+	71232643	71233124
ENSBTAG00000046673	ENSBTAG00000046673	13	-	71326365	71326745
ENSBTAG00000000309	PTPRT	13	-	71397829	71678072
ENSBTAG00000042629	U6	13	+	71975038	71975144
ENSBTAG00000008527	SRSF6	13	+	72804660	72810323
ENSBTAG00000007783	MYBL2	13	+	72939569	72966159
ENSBTAG00000016873	OSER1	13	-	73391554	73401614
ENSBTAG00000020030	FITM2	13	-	73467645	73473671
ENSBTAG00000018873	TTPAL	13	+	73617659	73627421
ENSBTAG00000002187	SERINC3	13	-	73637279	73653752
ENSBTAG00000005275	PKIG	13	+	73669767	73749992
ENSBTAG00000042131	snoU2-30	13	-	73738218	73738289
ENSBTAG00000043264	snoU2_19	13	-	73738446	73738525
ENSBTAG00000005280	ADA	13	-	73750479	73773983
ENSBTAG00000016846	YWHAB	13	+	74018886	74040819
ENSBTAG00000003256	TOMM34	13	-	74068198	74088187
ENSBTAG00000037925	ENSBTAG00000037925	13	+	74347296	74347738
ENSBTAG00000015127	SDC4	13	-	74393120	74412880
ENSBTAG00000005181	SYS1	13	+	74429935	74433440
ENSBTAG00000005186	DBNDD2	13	+	74458057	74462461
ENSBTAG00000016122	PIGT	13	+	74468626	74480363
ENSBTAG00000037942	ENSBTAG00000037942	13	-	74496558	74498471
ENSBTAG00000039693	ENSBTAG00000039693	13	+	74669485	74692955
ENSBTAG00000045129	SCARNA17	13	-	75111989	75112131
ENSBTAG00000016746	UBE2C	13	+	75306757	75310188
ENSBTAG00000020371	ACOT8	13	+	75327439	75339408
ENSBTAG00000027337	CTSA	13	+	75368317	75374637
ENSBTAG00000000559	PLTP	13	-	75374575	75384705
ENSBTAG00000010126	PCIF1	13	+	75404993	75416988
ENSBTAG00000010130	ZNF335	13	-	75416920	75435377
ENSBTAG00000014186	NCOA5	13	-	75518488	75534491
ENSBTAG00000003639	ELMO2	13	-	75812624	75839560
ENSBTAG00000009675	ENSBTAG00000009675	13	+	75913425	75942663
ENSBTAG00000047336	ENSBTAG00000047336	13	-	75950889	75955042
ENSBTAG00000027326	TP53RK	13	-	76083309	76087372
ENSBTAG00000013114	ZMYND8	13	-	76501073	76625012
ENSBTAG00000044512	SNORA79	13	-	76536639	76536785
ENSBTAG00000007489	NCOA3	13	+	76847444	76875680
ENSBTAG00000005957	CSE1L	13	+	77919358	77954887
ENSBTAG00000000241	STAU1	13	-	77962041	78003899
ENSBTAG00000006671	DDX27	13	+	78054502	78071705
ENSBTAG00000020166	ZNFX1	13	-	78075556	78098372
ENSBTAG00000017537	PTGIS	13	-	78319020	78368752
ENSBTAG00000027317	RNF114	13	+	78733477	78747534
ENSBTAG00000044591	SNORA70	13	+	78741827	78741957
ENSBTAG00000014554	SNAI1	13	+	78766068	78772194
ENSBTAG00000027316	UBE2V1	13	-	78845236	78873171
ENSBTAG00000000340	ADNP	13	-	79548065	79556310
ENSBTAG00000007721	DPM1	13	-	79580469	79597861
ENSBTAG00000007722	MOCS3	13	+	79598150	79601073
ENSBTAG00000043709	7SK	13	+	79599859	79600185
ENSBTAG00000007962	ATP9A	13	-	80167668	80262763
ENSBTAG00000003101	SALL4	13	-	80297262	80313158
ENSBTAG00000001512	ZFP64	13	-	80577980	80612353
ENSBTAG00000042320	snoU2-30	13	+	81838843	81838914
ENSBTAG00000008812	PFDN4	13	+	82399773	82402817
ENSBTAG00000046868	ENSBTAG00000046868	14	+	253710	254630
ENSBTAG00000034261	ENSBTAG00000034261	14	+	338622	339191
ENSBTAG00000045763	ENSBTAG00000045763	14	-	949553	950464
ENSBTAG00000045654	ENSBTAG00000045654	14	-	1127007	1127948
ENSBTAG00000000879	C8orf33	14	+	1487366	1489409
ENSBTAG00000012353	ZNF34	14	-	1491984	1502250
ENSBTAG00000026327	RPL8	14	-	1505030	1507633
ENSBTAG00000018456	ZNF7	14	+	1517535	1523303
ENSBTAG00000018455	COMMD5	14	-	1531491	1533526
ENSBTAG00000007186	ARHGAP39	14	+	1563866	1600378
ENSBTAG00000045478	bta-mir-2308	14	+	1566933	1567001
ENSBTAG00000046031	C14H8orf82	14	+	1602474	1605012
ENSBTAG00000004970	LRRC24	14	+	1604105	1609477
ENSBTAG00000004969	LRRC14	14	-	1610263	1613725
ENSBTAG00000010276	RECQL4	14	+	1614027	1620509
ENSBTAG00000007838	MFSD3	14	-	1620570	1622643
ENSBTAG00000007835	GPT	14	-	1623903	1626907
ENSBTAG00000007834	PPP1R16A	14	-	1628814	1633988
ENSBTAG00000004761	FOXH1	14	+	1654701	1656256
ENSBTAG00000007753	KIFC2	14	-	1656950	1663804
ENSBTAG00000035254	CYHR1	14	+	1663923	1677519
ENSBTAG00000007749	TONSL	14	+	1681494	1692498
ENSBTAG00000026320	VPS28	14	+	1693641	1698490
ENSBTAG00000046026	SLC39A4	14	+	1719732	1724220
ENSBTAG00000008355	CPSF1	14	+	1728207	1742670
ENSBTAG00000011064	ADCK5	14	-	1742714	1756301
ENSBTAG00000000857	GPR172B	14	-	1763994	1766621
ENSBTAG00000000856	FBXL6	14	+	1766767	1769754
ENSBTAG00000026356	DGAT1	14	+	1795351	1804562
ENSBTAG00000020751	HSF1	14	-	1806081	1825793
ENSBTAG00000039705	HGH1	14	-	1905129	1907245
ENSBTAG00000000658	KIAA1875	14	-	1913048	1921667
ENSBTAG00000012242	MAF1	14	-	1921784	1924818
ENSBTAG00000012235	SHARPIN	14	+	1925026	1929354
ENSBTAG00000012232	CYC1	14	-	1930186	1932580
ENSBTAG00000014610	GPAA1	14	-	1942672	1945910
ENSBTAG00000014607	EXOSC4	14	-	1947198	1949074
ENSBTAG00000017281	OPLAH	14	+	1957554	1966646
ENSBTAG00000015040	ENSBTAG00000015040	14	-	1966292	1968825
ENSBTAG00000026350	SPATC1	14	-	1970919	1998401
ENSBTAG00000000312	GRINA	14	-	2018559	2021709
ENSBTAG00000009677	PARP10	14	+	2024713	2031386
ENSBTAG00000011922	PLEC	14	+	2054917	2088261
ENSBTAG00000044263	bta-mir-2309	14	+	2071851	2071925
ENSBTAG00000045727	ENSBTAG00000045727	14	+	2133425	2146844
ENSBTAG00000008079	NRBP2	14	+	2152612	2159648
ENSBTAG00000037493	PUF60	14	+	2164999	2177241
ENSBTAG00000038682	FAM83H	14	+	2227350	2232020
ENSBTAG00000016810	PYCRL	14	+	2301587	2309099
ENSBTAG00000014643	EEF1D	14	+	2317971	2326718
ENSBTAG00000021472	ZC3H3	14	+	2354390	2418557
ENSBTAG00000003606	ENSBTAG00000003606	14	-	2512226	2540475
ENSBTAG00000017040	LY6E	14	-	2624758	2628462
ENSBTAG00000009974	TSNARE1	14	+	3054763	3171546
ENSBTAG00000009578	PTK2	14	+	3870893	4065010
ENSBTAG00000029865	bta-mir-151	14	+	4030315	4030394
ENSBTAG00000045100	SNORA25	14	-	7325360	7325483
ENSBTAG00000002181	KHDRBS3	14	-	7440523	7582740
ENSBTAG00000006869	PHF20L1	14	-	9526432	9598565
ENSBTAG00000003838	ENSBTAG00000003838	14	+	10787395	10788143
ENSBTAG00000003185	ASAP1	14	+	11327981	11696284
ENSBTAG00000020801	FAM49B	14	+	11839259	11871079
ENSBTAG00000017478	GSDMC	14	-	11892028	11907430
ENSBTAG00000026172	FAM84B	14	+	15464448	15469509
ENSBTAG00000023179	TRIB1	14	-	16353388	16361545
ENSBTAG00000009394	NSMCE2	14	-	16424535	16619178
